Category,ID,Profile Name,Description / Personalization Focus,Recommended Actions / Needs,Implementation Feasibility,Related to WCAG,Accessibility Category,WCAG Group,Matched by Expert,Created from Expert Notes,Origin,In WCAG Set,In Expert Set,In Exploratory Set
🤖 Input Style,VA01,Voice-Only User,Uses voice assistants or speech-only input,"ARIA labels, voice instructions, audio feedback",Easy,No,Other,Non-WCAG,No,No,Exploratory (Assistant + Ethan),FALSE,FALSE,TRUE
🧠 Behavioral & Emotional UX,BE01,Impatient User,"Gets annoyed by slow-loading pages, transitions, or unclear flows","Skip animations, show instant feedback, prioritize speed, inline validation",Easy,No,Other,Non-WCAG,No,No,Exploratory (Assistant + Ethan),FALSE,FALSE,TRUE
🧠 Behavioral & Emotional UX,BE02,Perfectionist,"Notices small design flaws, inconsistencies, and misalignments","Clean layout, pixel-perfect alignment, no UI glitches",Easy,No,Other,Non-WCAG,No,No,Exploratory (Assistant + Ethan),FALSE,FALSE,TRUE
🧠 Behavioral & Emotional UX,BE03,Anxious User,"Overthinks each step, hesitates on forms or irreversible actions","Confirmation dialogs, undo options, calming feedback",Easy,No,Other,Non-WCAG,No,No,Exploratory (Assistant + Ethan),FALSE,FALSE,TRUE
🧠 Behavioral & Emotional UX,BE04,Curious Explorer,"Likes to click, dig, and discover new things","Encourage exploration, show what’s clickable, breadcrumbs",Easy,No,Other,Non-WCAG,No,No,Exploratory (Assistant + Ethan),FALSE,FALSE,TRUE
🧠 Behavioral & Emotional UX,BE05,Rager-Frustrated Easily,Gets mad quickly when something doesn’t work,"Clear error messages, prevent dead ends, offer “panic button” refresh",Easy,No,Other,Non-WCAG,No,No,Exploratory (Assistant + Ethan),FALSE,FALSE,TRUE
🧠 Behavioral & Emotional UX,BE06,Passive Scroller,Scrolls endlessly but doesn’t take action,"Highlight CTAs, anchor menus, interruptive recommendations",Easy,No,Other,Non-WCAG,No,No,Exploratory (Assistant + Ethan),FALSE,FALSE,TRUE
🧠 Behavioral & Emotional UX,BE07,Goal-Oriented Sprinter,Opens browser just to complete one task fast,"One-tap access to recent actions, skip homepage fluff",Easy,No,Other,Non-WCAG,No,No,Exploratory (Assistant + Ethan),FALSE,FALSE,FALSE
🧠 Behavioral & Emotional UX,BE08,Casual Multitasker,"Leaves tabs open, switches tasks, forgets where they were","Save context, auto-restore state, progress bars",Easy,No,Other,Non-WCAG,No,No,Exploratory (Assistant + Ethan),FALSE,FALSE,FALSE
🧠 Behavioral & Emotional UX,BE10,Delayed Reactor,Doesn’t notice UI feedback unless it’s obvious,"Bigger transitions, confirmation badges, subtle audio cue",Easy,No,Other,Non-WCAG,No,No,Exploratory (Assistant + Ethan),FALSE,FALSE,FALSE
🖱️ Motor & Navigation Support,DP02,Keyboard-Only Navigator,User navigates using only the keyboard,Ensure tab/enter navigation works across all elements,Easy,Yes,Motor,WCAG-Aligned,No,No,WCAG-Informed,TRUE,FALSE,FALSE
🔊 Hearing & Media Accessibility,HE01,Visual Notifications,User prefers visual alerts over audio notifications,Replace sound cues with on-screen messages,Easy,Yes,Hearing,WCAG-Aligned,No,No,WCAG-Informed,TRUE,FALSE,FALSE
🔊 Hearing & Media Accessibility,HE02,Captions & Transcripts,User requires captions or transcripts for multimedia,"Prompt for captions, display transcript when available",Partially,Yes,Hearing,WCAG-Aligned,No,No,WCAG-Informed,TRUE,FALSE,FALSE
🛡️ General Safety,GS01,No Autoplay Media,User wants control over media playback,"Block or pause auto-playing videos, carousels",Easy,Yes,General Safety,WCAG-Aligned,Yes,No,WCAG-Informed,TRUE,TRUE,FALSE
🛡️ General Safety,GS02,Seizure-Safe Mode,User is sensitive to flashing or high motion visuals,"Block fast transitions, remove flashing effects",Easy,Yes,General Safety,WCAG-Aligned,No,No,WCAG-Informed,TRUE,FALSE,FALSE
🧠 Cognitive & Neurodivergent UX,CP02,No Time Constraints,User needs extended time for actions,Disable or lengthen form/input timeouts,Partially,Yes,Cognitive,WCAG-Aligned,No,No,WCAG-Informed,TRUE,FALSE,FALSE
🔍 Visual Accessibility,VP05,Alt Text Reader,User benefits from seeing image alt text easily,Show alt text on hover or focus,Easy,Yes,Visual,WCAG-Aligned,No,No,WCAG-Informed,TRUE,FALSE,FALSE
🖱️ Motor & Navigation Support,DP03,Visible Focus Tracker,User needs to clearly see where focus is while tabbing,"Add focus outlines, highlight focused elements",Easy,Yes,Motor,WCAG-Aligned,No,No,WCAG-Informed,TRUE,FALSE,FALSE
🧠 Behavioral & Emotional UX,BE09,Error-Aware User,User hesitates or fears making errors in forms,"Offer confirmation, undo, validation prompts",Easy,Yes,Cognitive,WCAG-Aligned,No,No,WCAG-Informed,TRUE,FALSE,FALSE
🧠 Cognitive & Neurodivergent UX,CP03,Guided Helper Mode,User benefits from instructional help and guidance,"Add contextual help, inline tooltips, onboarding hints",Easy,Yes,Cognitive,WCAG-Aligned,No,No,WCAG-Informed,TRUE,FALSE,FALSE
🧠 Cognitive & Neurodivergent UX,CP04,Simplified Language Mode,User prefers plain or simplified reading level,"Simplify UI content, use short words/sentences",Easy,Yes,Cognitive,WCAG-Aligned,No,No,WCAG-Informed,TRUE,FALSE,FALSE
🧠 Cognitive & Neurodivergent UX,EX01,Explanation Clarity Seeker,User relies on clarity and justification in explanations,"Improve transparency, provide visual reasoning and step-by-step breakdowns",Easy,No,Cognitive,Non-WCAG,No,Yes,Expert-Derived,FALSE,FALSE,FALSE
🧠 Behavioral & Emotional UX,EX02,Collaborative Analyzer,User benefits from combining human + AI perspectives,"Display multiple viewpoints, offer comparisons or toggles",Easy,No,Cognitive,Non-WCAG,No,Yes,Expert-Derived,FALSE,FALSE,FALSE
🧠 Behavioral & Emotional UX,BE11,Confidence-Limited User,User struggles with self-trust in decision making,"Provide confidence ratings, examples, highlight trustworthy content",Easy,No,Cognitive,Non-WCAG,No,Yes,Expert-Derived,FALSE,FALSE,FALSE
🧠 Behavioral & Emotional UX,BE12,Temporal Confidence Variability,User is unsure when evaluations change over time or feel unstable,"Show update timestamps, explain what changed and why",Easy,No,Cognitive,Non-WCAG,No,Yes,Expert-Derived,FALSE,FALSE,FALSE
